title,price
Grand Theft Auto V,49.61
Borderlands 3,11.99
Stardew Valley,19.99
Fallout 4,23.99
DOOM Eternal,37.25
Cult of the Lamb,32.47
Call of Duty®: Black Ops III,90.42
Battlefield™ 2042,37.35
A Way Out,17.8
Cyberpunk 2077,99.95
Phasmophobia,22.31
Need for Speed™ Unbound,29.9
Need for Speed™ Heat,27.9
DOOM,12.3
Cyberpunk 2077: Phantom Liberty,84.99
BIOMUTANT,18.75
Call of Duty®: Black Ops Cold War,90.42
Starfield,200.33
Call of Duty®: Modern Warfare® II,159.5
Avatar: Frontiers of Pandora™,149.99
ONE PIECE: PIRATE WARRIORS 4,57.47
Deep Rock Galactic,19.13
Call of Duty®: Modern Warfare®,90.42
Battlefield™ V,34.35
Inscryption,19.99
Prince of Persia The Lost Crown,119.99
Battlefield™ 1,29.85
Lake,18.99
Call of Duty®: Modern Warfare® Remastered (2017),92.0
Wolfenstein II: The New Colossus,23.25
Battlefield 4™,29.85
DREDGE,58.49
Fallout 76,38.75
F1® 24,287.4
Persona 3 Reload,179.94
New Tales from the Borderlands,99.11
Watch_Dogs™,23.74
"Ranch Simulator: Build, Hunt, Farm",14.24
Dead Space,87.15
Content Warning,21.19
Necesse,30.54
Destiny 2: The Final Shape,127.29
Vampire Survivors,9.74
Half-Life: Alyx,55.08
Hi-Fi RUSH,65.4
Hell Let Loose,161.99
Tribes of Midgard,11.99
UNO,11.99
Dragon Age™ Inquisition,20.9
Abiotic Factor,59.19
